country,fertility,female_percentage,0-4_female,5-9_female,10-14_female,15-19_female,20-24_female,25-29_female,30-34_female,35-39_female,40-44_female,45-49_female,50-54_female,55-59_female,60-64_female,65-69_female,70-74_female,75-79_female,80-84_female,85-89_female,90-94_female,95-99_female,0-4_male,5-9_male,10-14_male,15-19_male,20-24_male,25-29_male,30-34_male,35-39_male,40-44_male,45-49_male,50-54_male,55-59_male,60-64_male,65-69_male,70-74_male,75-79_male,80-84_male,85-89_male,90-94_male,95-99_male
Czechia,"[1.1756748336078386, 2.749586482065995]","[0.4854766812059627, 0.4895894366904761]","[0.9925686245593947, 1.014522942292251]","[0.9822859291218157, 1.0090862190589498]","[0.9936486150388268, 1.0237500955670387]","[0.9904941911746176, 1.0463073626750923]","[0.9902119968553035, 1.0269233578241626]","[0.9884315158447721, 1.0153173976364545]","[0.9866316339289954, 1.0122855598562415]","[0.9850825896363566, 1.0079750164748968]","[0.9803958835410062, 1.0053819900236283]","[0.9728535645293971, 0.9957310436570322]","[0.9590577440154541, 0.9850080006986164]","[0.9367423071208574, 0.9770205246945607]","[0.8893791061704899, 0.9558587307471218]","[0.8186063645221855, 0.9239400449243214]","[0.7023284373131675, 0.8745131554331004]","[0.5504236095113773, 0.7876794842574806]","[0.3804893771319599, 0.6251631498803567]","[0.2299331776829563, 0.4300769170657647]","[0.11876208897485493, 0.25759812143575983]","[0.05, 0.15784671532846714]","[0.9924315602291937, 1.014263628667133]","[0.9829375360315619, 1.0084226569805557]","[0.9937920571015908, 1.023619513837938]","[0.9876663395689579, 1.0503996630939207]","[0.9673805712549548, 1.037487448755748]","[0.967061017407645, 1.0230655997166607]","[0.9726050131624128, 1.0189399740925245]","[0.9739012177783273, 1.0124057585275492]","[0.9668536536347193, 1.0048720756767011]","[0.9499715179134145, 0.9858905582586276]","[0.9210268454869812, 0.9624991875907191]","[0.8809082627155062, 0.9451139102360057]","[0.8154024886116971, 0.9043849744491136]","[0.7255142286212998, 0.8540703490415551]","[0.6150954354241226, 0.7878797349668708]","[0.4735165272799681, 0.6884571390953004]","[0.3355005132794609, 0.5308125407455698]","[0.19825906197219695, 0.3576418289585097]","[0.0903030303030303, 0.20534729878721059]","[0.02727272727272727, 0.13861386138613863]"
Dem. People's Republic of Korea,"[1.7761670306473616, 4.183093298889929]","[0.4862291519473086, 0.504893243262543]","[0.8353931815121696, 0.9958274364047021]","[0.9318891293891294, 0.9977123258209479]","[0.9396402930763179, 0.9975553974738335]","[0.8894744146973959, 0.9962487099091455]","[0.8508275261324042, 0.99540967284494]","[0.8439964497467585, 0.9948773232761908]","[0.8466053869411173, 0.994655421337935]","[0.845032714146048, 0.9935236657071398]","[0.8519081307293742, 0.9908101242720131]","[0.8511283150927809, 0.9868690301448311]","[0.8355223752887824, 0.9785938767472986]","[0.7961371462793831, 0.9609759369247852]","[0.7258061898502037, 0.9344960454268911]","[0.6238867616056447, 0.8890261265092543]","[0.4740288451415938, 0.8160866849647885]","[0.3066415623730941, 0.7051463252411041]","[0.16405797101449276, 0.5603941146425453]","[0.03887043189368771, 0.4044342204418356]","[0.003745318352059925, 0.25399083293820135]","[0.0, 0.14354066985645933]","[0.8240880056122731, 0.9934589320441765]","[0.9351217500009461, 0.9969908205481813]","[0.9243083834659941, 0.9970871531732779]","[0.7750017046914858, 0.9955551620768943]","[0.6297962903756865, 0.9940957214104471]","[0.6243778783892706, 0.992326297540769]","[0.664424346612851, 0.9914052209279084]","[0.6960569484630936, 0.9878375058793958]","[0.7068902603480827, 0.9809314241705044]","[0.7120782161475856, 0.9719702697869377]","[0.7000603173097124, 0.9551544153565031]","[0.6600404752578666, 0.936470003415877]","[0.6024511639174577, 0.9028313382859168]","[0.5100218740234811, 0.8491363527240718]","[0.3627854161551682, 0.7716881700890423]","[0.19924422502590358, 0.6607223488013618]","[0.06389072482925755, 0.5180819761872177]","[0.0034482758620689655, 0.35539845758354754]","[0.0, 0.1879310344827586]","[0.0, 0.0]"
Democratic Republic of the Congo,"[4.606534861116926, 5.709991543798248]","[0.49767114112389815, 0.5062458578098243]","[0.8762541440390066, 0.9694089065333653]","[0.9604759991625312, 0.9856069301057975]","[0.9648118682160717, 1.0117022041366106]","[0.9233048373381527, 1.051296394003945]","[0.8958470212777034, 1.0631271795147021]","[0.8952333160050362, 1.050845314077275]","[0.9030509869080867, 1.0302057297731453]","[0.9108177479845995, 1.009206891872371]","[0.9173625682482365, 0.990032556602828]","[0.9195713907178819, 0.9717394809653525]","[0.9055710603329651, 0.9488915090653668]","[0.8697015804170529, 0.9213481560738158]","[0.8116973789630307, 0.8786314252895568]","[0.7242415469547074, 0.8128613281613538]","[0.6105887516125171, 0.7186435126239547]","[0.47129222845023483, 0.5905895651559575]","[0.3302958001552304, 0.4387994170494586]","[0.20748239436619717, 0.30495489044823143]","[0.04824029126213592, 0.3321579689703808]","[0.012738853503184714, 0.49709302325581395]","[0.8723939262602561, 0.9656367086976039]","[0.9631893801683411, 0.984296072299921]","[0.9629620852015464, 1.0078523265717123]","[0.9142679598378649, 1.0400893126783228]","[0.88170153396548, 1.0520041071738937]","[0.8810211978352859, 1.046952131274881]","[0.8878945259752786, 1.0299357852593403]","[0.8939580842662029, 1.0091726725167165]","[0.8959406367932359, 0.9860960637934699]","[0.8925054411584116, 0.9628652532192782]","[0.8794265262595794, 0.936731929944883]","[0.8502605730204856, 0.9013863471723522]","[0.7932920160408312, 0.8540882688775256]","[0.7054892029191829, 0.7856744254192334]","[0.5847358672894186, 0.6860272057324284]","[0.4395201410012224, 0.553825787356056]","[0.2907756008024929, 0.3987851855747361]","[0.13200550905816294, 0.31703739916890733]","[0.0056179775280898875, 0.6050359712230216]","[0.007134363852556481, 1.26]"
Denmark,"[1.3985537124551999, 2.709269476123251]","[0.48610279447817345, 0.48884285291506363]","[0.9889760564612557, 1.0267282902246846]","[0.9962410785091197, 1.0189424132589373]","[0.9852050499750611, 1.0293060567818688]","[0.9816777689332049, 1.0734021418948234]","[0.9915073296179322, 1.0617878686327078]","[0.9900249222339722, 1.029865467313686]","[0.9808426912371628, 1.020157077947414]","[0.982918845705256, 1.0143113013340157]","[0.9837445723567134, 1.0064750011553332]","[0.9725995497943025, 0.9996009375442]","[0.9650917167575291, 0.9885456033038532]","[0.9435460531075899, 0.9776208679008018]","[0.9076214661285734, 0.9606267929444896]","[0.848233483034567, 0.9405258680063201]","[0.7453496485644753, 0.9000657417636414]","[0.6081150349367361, 0.8267016688543034]","[0.43994314143567875, 0.6904193983671133]","[0.2737932915189528, 0.5067210454034708]","[0.14630225080385853, 0.3041958041958042]","[0.07112970711297072, 0.15801749271137025]","[0.9822218739629043, 1.0260371636450698]","[0.997044706457826, 1.0209477133576705]","[0.9875506187079223, 1.027652963395054]","[0.9625702398962611, 1.0663381121424782]","[0.9637163609902031, 1.0547298138158285]","[0.9842005076142132, 1.0390526224004883]","[0.9814305140767634, 1.0279601130172038]","[0.9769148855252149, 1.0133907166170821]","[0.9799869135035459, 1.002721946268473]","[0.9649551812269369, 0.9917856114107493]","[0.9489734916418837, 0.978862848053964]","[0.9168450189766858, 0.9617250973845298]","[0.872269814860703, 0.9365689687083928]","[0.8047487147430025, 0.9064154318451014]","[0.7164354066985646, 0.8534958491290369]","[0.5826340587839354, 0.7626317582792012]","[0.4181592039800995, 0.6018117593436645]","[0.25981558596073767, 0.39810573713221026]","[0.13290017720023628, 0.2267330524703179]","[0.061224489795918366, 0.11731843575418995]"
Djibouti,"[2.598003047334141, 5.602696733697547]","[0.4929923607709692, 0.49996032690629216]","[0.8640362724290951, 1.2751054371366692]","[0.8860182711948105, 1.3329974085804779]","[0.8907646728303622, 1.3398807435987372]","[0.8899431299171995, 1.3354504075367841]","[0.8880228539183184, 1.343384001993521]","[0.8843786320003444, 1.324181626187962]","[0.8802376320908469, 1.3197994176641863]","[0.873812408340241, 1.3132295719844358]","[0.8683504232330879, 1.3067700987306066]","[0.862250438559853, 1.2964766542537955]","[0.8477768629065459, 1.2725035161744023]","[0.8250448602922328, 1.2363877822045153]","[0.7849991793861809, 1.1700288184438041]","[0.7228140257434532, 1.0715421303656598]","[0.6342182890855457, 0.9339045287637698]","[0.5084745762711864, 0.7558886509635975]","[0.36363636363636365, 0.5550239234449761]","[0.16666666666666666, 0.3532608695652174]","[0.0, 0.1951219512195122]","[0.0, 0.09090909090909091]","[0.8603507714334155, 1.2661947300410135]","[0.8845186068070454, 1.3291202872531418]","[0.8887822617303904, 1.3368272703250241]","[0.8820249449743214, 1.3251763197264372]","[0.8761999573348503, 1.3311721332316298]","[0.8750549740522473, 1.3155418123151386]","[0.8722457397156193, 1.311103756412378]","[0.8657093471612818, 1.3028]","[0.8570711776933553, 1.2902284880894506]","[0.8470567624386826, 1.2713943746259724]","[0.8292923752057049, 1.244085617724371]","[0.8025673224501186, 1.2009708737864078]","[0.7594564818215204, 1.1305194805194805]","[0.6930998970133883, 1.0260950605778192]","[0.599523241954708, 0.8796992481203008]","[0.45569620253164556, 0.6866096866096866]","[0.2962962962962963, 0.4930555555555556]","[0.0, 0.27522935779816515]","[0.0, 0.13636363636363635]","[0.0, 0.0]"
Dominica,"[1.5365047902213413, 6.767927878705095]","[0.48291651990137374, 0.5083948104807937]","[0.9142960681282841, 1.1187629937629937]","[0.863939528679413, 1.040599132834056]","[0.8111206649469762, 1.0682142857142858]","[0.764369081700066, 1.085134685733289]","[0.7540760869565217, 1.058079945336522]","[0.7553407934893184, 1.0224419931532902]","[0.8577331759149941, 1.0249554367201426]","[0.9053367217280813, 1.0235988200589972]","[0.9231327048585932, 1.085237258347979]","[0.9241960183767228, 1.343956043956044]","[0.8762725137039937, 1.210710128055879]","[0.8485915492957746, 1.3188622754491017]","[0.88134135855546, 1.1732142857142858]","[0.789587852494577, 1.2416107382550337]","[0.6640746500777605, 1.0318302387267904]","[0.5831353919239906, 0.7976190476190477]","[0.40237691001697795, 0.7709923664122137]","[0.24, 0.5586206896551724]","[0.1111111111111111, 0.40540540540540543]","[0.0, 0.15384615384615385]","[0.9178803298824355, 1.0738665308201731]","[0.817907678032939, 1.047694126921561]","[0.7095264317180616, 1.0595107703541438]","[0.7359550561797753, 1.0563333333333333]","[0.714867617107943, 1.0385502471169687]","[0.7294654498044328, 1.0112570356472796]","[0.823020625415835, 1.0016715419974926]","[0.7690789473684211, 0.9977436823104693]","[0.8941925218774861, 1.039423076923077]","[0.903056768558952, 1.160233918128655]","[0.8633301251203079, 1.0]","[0.8660130718954249, 1.088850174216028]","[0.8051660516605166, 1.0246913580246915]","[0.7193460490463215, 0.9457446808510638]","[0.5106382978723404, 0.8823529411764706]","[0.2997601918465228, 0.8362573099415205]","[0.27860696517412936, 0.6888111888111889]","[0.17475728155339806, 0.5514018691588785]","[0.07142857142857142, 0.375]","[0.0, 0.15384615384615385]"
Dominican Republic,"[2.3281274271030785, 6.124515234585561]","[0.48913660800622655, 0.4939493128205894]","[0.9140077611296755, 0.9913335053892239]","[0.9803883436142089, 0.9965956355763205]","[0.9782699540325951, 0.9899394793566573]","[0.947812011835036, 0.9749359358359957]","[0.9145719296380932, 0.9693102278878822]","[0.9119285888424472, 0.9717462934325233]","[0.9290750408427413, 0.9751361001797906]","[0.9317923906052201, 0.977352179905207]","[0.9444122399141578, 0.9769095550066913]","[0.9369445129112236, 0.9737782142145561]","[0.9309834023499309, 0.9675810894610066]","[0.8985075860928521, 0.9562217945158421]","[0.8457727176892262, 0.9348808347591392]","[0.7657806118793437, 0.899459025905321]","[0.6512355670659329, 0.8462457046767237]","[0.5211936894126592, 0.8127885966673358]","[0.3783783783783784, 0.8099352051835853]","[0.2556818181818182, 0.7991071428571429]","[0.10102489019033675, 1.172528201725282]","[0.008849557522123894, 2.135294117647059]","[0.9054636810486073, 0.9906590378354423]","[0.9751929786876623, 0.9966373689462389]","[0.9543743940399041, 0.9897738755440274]","[0.9297948156788238, 0.9718450530982802]","[0.9284856530485055, 0.9638225644949894]","[0.9370864220197523, 0.96532850806976]","[0.938166089605623, 0.9768764272643407]","[0.9365973889266871, 0.9808596750114341]","[0.9312818605804243, 0.9923728622608774]","[0.9244018225625611, 0.9927633928246088]","[0.9058789204959883, 0.9831998830024496]","[0.8704985895885995, 0.9700882355962323]","[0.8162131084706784, 0.9434547284249463]","[0.734950282182209, 0.9107417788480517]","[0.6210892236384704, 0.8481469982217957]","[0.48545025560361776, 0.7964363089711279]","[0.3274996940398972, 0.7318011171138175]","[0.1626984126984127, 0.7358490566037735]","[0.023778071334214, 1.2210927573062262]","[0.0, 4.551724137931035]"
Eastern Africa,"[4.0676675993815845, 5.791792252337611]","[0.49366025475792946, 0.4986444283274121]","[0.8796198759497512, 0.9842487297664818]","[0.9561564857952576, 0.9934674599050072]","[0.9648278759660023, 0.9918619953396383]","[0.9584092784882909, 0.9859355710586373]","[0.9479584803533013, 0.9800527810998743]","[0.9381343849829348, 0.9751209276385653]","[0.9322702550309148, 0.9722105357937907]","[0.9296289652037569, 0.9693768308143337]","[0.9217208512434274, 0.9651297267619126]","[0.9108955694160255, 0.9577801235989384]","[0.8951703732281309, 0.9466919245227944]","[0.8637171950887582, 0.9275175923283907]","[0.8106019802972325, 0.890258818835882]","[0.7290685293763015, 0.8331109765990126]","[0.6197167626353708, 0.7506153834894257]","[0.4939194657490929, 0.6431217173359715]","[0.3615093652918773, 0.5129726992448728]","[0.23906539932593632, 0.40780804806962256]","[0.13137511316768938, 0.35261624987446016]","[0.05493630573248408, 0.29907390593789723]","[0.8726755992549208, 0.9808235127028878]","[0.9551914379999952, 0.9914005789165917]","[0.9494684056080861, 0.9882261283672161]","[0.9400185617507901, 0.9785385842643346]","[0.9338131328446588, 0.9733594227764846]","[0.9291527299196971, 0.9706301335885219]","[0.9219155384912564, 0.9664914008384142]","[0.9156211133837276, 0.9607089417057698]","[0.9083269802127321, 0.9522176314659322]","[0.8925030641190788, 0.9391071315048399]","[0.8705868169078356, 0.9215652839294594]","[0.8363814196931997, 0.8949542462991877]","[0.7885182877992347, 0.8512945637805825]","[0.7038605265775302, 0.7885920136266298]","[0.5865697279873324, 0.6942929155195571]","[0.45585585585585586, 0.5729025539741118]","[0.31900404662680437, 0.4501377341375837]","[0.2060057819640026, 0.3686969308856316]","[0.0938925938925939, 0.34780718101627534]","[0.0368, 0.2777777777777778]"
Eastern and South-Eastern Asia,"[1.7109758211841912, 5.033877916176527]","[0.47089284793002734, 0.488649593224981]","[0.9194492885637989, 0.9973314829116744]","[0.9711747025063998, 0.9983748210044265]","[0.9802263890642698, 0.9986698423475249]","[0.9784025643473466, 0.9967904042417924]","[0.9728810637342566, 0.9966749137308673]","[0.9699442416326096, 0.9961889432913948]","[0.9651353464747162, 0.9955977450225734]","[0.9558956928190944, 0.9935402867028148]","[0.9453988514016544, 0.9912140507905399]","[0.9290817774254508, 0.9871061412445075]","[0.906724512833361, 0.9808695903262109]","[0.8684164766751165, 0.9706532681847218]","[0.7953922533098347, 0.953063328506467]","[0.7079427071913145, 0.9224315595406302]","[0.5901670918723645, 0.8681812650496794]","[0.46232416957644007, 0.7819850428288595]","[0.3189025370703095, 0.6580996530393183]","[0.2077703223948351, 0.5142707633147332]","[0.11799237701706265, 0.35220272417146203]","[0.08100654946570149, 0.2326344489687142]","[0.9189971205336429, 0.9968883890139855]","[0.967350554273502, 0.9977341198895777]","[0.974552612084333, 0.9972590695073801]","[0.9702182433449222, 0.9946634095912694]","[0.9652739061669702, 0.9939785627240434]","[0.9620210203987545, 0.9944552491457832]","[0.9560260511750794, 0.9931694702749448]","[0.944538437746949, 0.9897580468931898]","[0.9252961962026859, 0.9842406562999395]","[0.9011127079045472, 0.9755934752110802]","[0.8630212592278447, 0.9632218940942245]","[0.807656187785271, 0.9418078464547043]","[0.718226093954366, 0.9093313346530792]","[0.6238139170437025, 0.865227811577438]","[0.5047193617894119, 0.7931832033079017]","[0.38982624528484766, 0.6865733739743275]","[0.26902147797523723, 0.542149793214683]","[0.16870148690766879, 0.38557163482496076]","[0.09509059686401643, 0.22870194931079016]","[0.05753252860949992, 0.24738478936952218]"
Eastern Asia,"[1.455504112784534, 5.0512112195980885]","[0.46298297139782985, 0.48815052416650623]","[0.9128823149542115, 0.9983370744274459]","[0.9676909219012748, 0.9986908339349827]","[0.9782869369254749, 0.9993336870291495]","[0.9769748789404594, 0.9985117966180944]","[0.971017490018061, 0.9978925861648202]","[0.969645639571748, 0.9978767510151001]","[0.9651929701618516, 0.9973997372688667]","[0.9565915673706807, 0.9955044101900873]","[0.9449102189969, 0.9937786821182493]","[0.9266917439971725, 0.9899720776663795]","[0.903214606642017, 0.9858149818162298]","[0.8646673217104287, 0.9757594314834417]","[0.7884290749381496, 0.9597156019370688]","[0.6989447988535789, 0.93355255374619]","[0.5783253822183961, 0.8858949170191822]","[0.4469660520958034, 0.803129026489897]","[0.29814246908407827, 0.6763524846144927]","[0.18218201743382031, 0.5255825744257655]","[0.09168741073250357, 0.35568930925766695]","[0.04313192150767437, 0.2246363580139655]","[0.9149078985351164, 0.9981517053033819]","[0.9645660668057154, 0.9982373666251272]","[0.9731592125708229, 0.9985756146456632]","[0.9697721633736379, 0.9973207339051697]","[0.9645413808088603, 0.9956761415080065]","[0.9614057317804718, 0.9955036919905225]","[0.9554718350893279, 0.9949735365452225]","[0.9445755739202993, 0.9917340687245922]","[0.9245569382323333, 0.986865220954515]","[0.896630056815637, 0.9793442238915891]","[0.8552221109535312, 0.9690561642801944]","[0.7975222976592723, 0.9483195532775166]","[0.7013356210036091, 0.9170630295521175]","[0.6030815467656853, 0.8759197491587858]","[0.47998273740210073, 0.8077751427785054]","[0.3631192193920574, 0.702445793200211]","[0.2393873063908762, 0.5528396765325839]","[0.13900253263198908, 0.3902469617042909]","[0.061324175589778596, 0.22447738274288748]","[0.022909252669039145, 0.1317278765674798]"
Eastern Europe,"[1.2493031628663234, 2.825154184407886]","[0.48601054703368235, 0.4931718977949548]","[0.9328488223099233, 1.013093246594164]","[0.9658972695296214, 1.0829397988552918]","[0.9788777514540583, 1.0185336438459853]","[0.9630171148920866, 1.0441252369679412]","[0.9477954317402388, 1.0155515702380749]","[0.9804576518391644, 1.0067867599078522]","[0.9759108825623066, 1.0016370415996507]","[0.965143670374006, 0.9964590736965784]","[0.9595421610677041, 1.0009747113924699]","[0.957443898919477, 1.0074967486937974]","[0.950127172289605, 0.9833066535546028]","[0.9282626628476467, 0.965837603956403]","[0.8863220475794474, 0.9380927991764713]","[0.8030353553694322, 0.9065836000792078]","[0.6789980844872714, 0.8410542674897004]","[0.5291145052772552, 0.7448834836002352]","[0.3826844303576465, 0.5969313024979114]","[0.25103430861567744, 0.43168993760931923]","[0.15507351839565098, 0.4360787951403651]","[0.08149556400506971, 0.392318150917743]","[0.9213355752299925, 1.0081005721384886]","[0.9623253363446025, 1.0940247961308878]","[0.9705076637519812, 1.034677395722309]","[0.9545465999623259, 1.034176733510789]","[0.9487821872264627, 1.0163210587939147]","[0.9702375209260219, 1.0216417194018221]","[0.9687885978992282, 0.9913620071414007]","[0.9551372835634481, 0.9823796273325243]","[0.9413104059535253, 0.971849091980043]","[0.9222294007035747, 0.9619634624290421]","[0.8925156286255073, 0.9430695084940067]","[0.8576590772240273, 0.9065142126527258]","[0.8026506883134462, 0.86661182230292]","[0.7189344949036902, 0.8100667786928909]","[0.5952505244470128, 0.7291565764788708]","[0.4604736472603369, 0.6327014179152203]","[0.3315167427479885, 0.5055749685567474]","[0.21229146148565972, 0.37705478222434624]","[0.13222176944670833, 0.37716299559471367]","[0.06620236325221066, 0.40398052085538855]"
